"Timestamp","Which actions did you use in HireShark? (Check all that apply)","How easy or difficult were the tasks overall?  ","How successful do you think you were in completing the tasks?  ","HireShark was easy to use.","The features felt well-organized. ","I think most people could learn to use Hireshark quickly. ","The match score felt meaningful and helpful.","HireShark gave me useful insights to improve my resume or job search.","Using HireShark could help me apply for jobs more effectively. ","Match results from HireShark is accurate.","  Overall, how satisfied were you with using HireShark?  ","What did you like most about using HireShark?  ","What was confusing or frustrating? ","Did any scores or explanations feel wrong or inaccurate?","What’s one improvement you would make? "
"2025/12/01 11:24:17 PM CST","Uploaded resume;Edited retrieved information;Viewed match score;Read the explanation of match;Read the detail page of job","1","4","5","5","5","5","5","4","4","5","Easiness to upload and review my resume, finding things to improve through the result page","I want to select the option for internship and the companies allows to apply with CPT/OPT, but it wasn't available","none","make more job filtering options for internship and international applicants, and allow users to select multiple options."
"2025/12/03 4:49:44 PM CST","Uploaded resume;Edited custom job role;Viewed match score;Read the explanation of match;Read the detail page of job","2","4","4","4","4","3","4","4","3","4","Suggesting match score","Setting preference. It might be multiple choices.","Little bit curious about my extracted skills by LLM","Serving multiple choices at ""Set preferences"". Also it will be more useful using slide bar to decide minimum-maximum wage."
"2025/12/04 11:31:50 AM CST","Uploaded resume","3","3","3","3","3","3","3","3","3","3","","","",""
"2025/12/04 11:40:32 AM CST","Uploaded resume;Edited retrieved information;Edited custom job role;Viewed match score","1","5","5","5","5","4","4","4","4","5","UI was simple and clean, with minimal clicks I could able to get to the desired application part","Providing multi select pick list for job roles ","Not","Providing multi select pick list for job roles would be better. "
"2025/12/04 12:07:04 PM CST","Uploaded resume;Viewed match score;Read the explanation of match;Read the detail page of job;Clicked ""Apply"" to access more information on the actual job posting page","2","2","4","4","4","4","4","4","4","4","","","",""
"2025/12/04 2:50:41 PM CST","Uploaded resume;Edited retrieved information;Edited custom job role;Viewed match score;Read the explanation of match;Read the detail page of job;Clicked ""Apply"" to access more information on the actual job posting page","2","5","5","4","4","4","3","4","2","3","","Some of the extracted skills are not applicable and the work experience extracted is not actually work experience on my resume, it's just leadership and other volunteering/research experience.","",""
"2025/12/04 7:35:23 PM CST","Uploaded resume;Edited retrieved information;Edited custom job role;Viewed match score;Read the explanation of match;Read the detail page of job;Clicked ""Apply"" to access more information on the actual job posting page","4","5","5","4","5","4","5","5","4","4","The extract is clear and easy to handle","I hope there's a autofill when entering the application page for the job","It's higher than I truly am",""
"2025/12/04 7:36:49 PM CST","Uploaded resume;Edited retrieved information;Edited custom job role;Viewed match score;Read the explanation of match;Read the detail page of job;Clicked ""Apply"" to access more information on the actual job posting page","1","5","5","5","5","3","4","4","4","4","The information is extracted correctly with accurate internship, time, contribution, etc.","The options of the suggesting job list seems to be fixed. I can't choose any other jobs I want.","NA.","Give more freedom on each section, users may want to add/delete some info else."
"2025/12/04 9:13:11 PM CST","Uploaded resume;Edited retrieved information;Edited custom job role;Viewed match score;Read the explanation of match;Read the detail page of job;Clicked ""Apply"" to access more information on the actual job posting page","1","5","5","5","5","5","4","5","5","5","I like how easy it is to use without any complex steps","It was not confusing at all","They are all really accurate","I would say maybe add some feedback for the user if his resume does not match"
"2025/12/04 11:48:36 PM CST","Uploaded resume;Edited retrieved information;Viewed match score;Read the explanation of match","2","4","4","5","5","3","3","5","4","4","","","",""
